date,ConsumerDSR,TotalDSR,MortgageDSR
1980Q1,6.240027,10.615740,4.375714
1980Q2,6.151972,10.636900,4.484928
1980Q3,5.913000,10.406386,4.493386
1980Q4,5.740706,10.252837,4.512131
1981Q1,5.691433,10.287516,4.596082
1981Q2,5.693254,10.416878,4.723624
1981Q3,5.586641,10.306743,4.720102
1981Q4,5.576550,10.379325,4.802776
1982Q1,5.562731,10.447258,4.884527
1982Q2,5.573340,10.504029,4.930689
1982Q3,5.519579,10.409941,4.890362
1982Q4,5.504033,10.380410,4.876376
1983Q1,5.498346,10.348922,4.850575
1983Q2,5.525737,10.376333,4.850596
1983Q3,5.527094,10.381299,4.854205
1983Q4,5.555206,10.425534,4.870328
1984Q1,5.583316,10.478991,4.895675
1984Q2,5.673696,10.607963,4.934267
1984Q3,5.746739,10.719033,4.972294
1984Q4,5.835576,10.878463,5.042887
1985Q1,6.000506,11.220536,5.220030
1985Q2,6.029668,11.310744,5.281076
1985Q3,6.187760,11.595799,5.408039
1985Q4,6.243071,11.725570,5.482499
1986Q1,6.234700,11.739687,5.504987
1986Q2,6.269203,11.812105,5.542903
1986Q3,6.318545,11.917140,5.598595
1986Q4,6.363267,12.062025,5.698757
1987Q1,6.226087,11.931285,5.705198
1987Q2,6.243911,12.067256,5.823345
1987Q3,6.150061,11.939659,5.789598
1987Q4,6.073399,11.806446,5.733047
1988Q1,6.018813,11.752855,5.734042
1988Q2,5.969333,11.736396,5.767063
1988Q3,5.899554,11.691190,5.791636
1988Q4,5.842594,11.569183,5.726589
1989Q1,5.811998,11.565868,5.753870
1989Q2,5.872069,11.731492,5.859422
1989Q3,5.845120,11.793877,5.948757
1989Q4,5.763882,11.745679,5.981797
1990Q1,5.635607,11.649150,6.013543
1990Q2,5.540660,11.600660,6.060000
1990Q3,5.481259,11.583131,6.101873
1990Q4,5.419602,11.604449,6.184847
1991Q1,5.355239,11.578032,6.222793
1991Q2,5.238545,11.434237,6.195692
1991Q3,5.137354,11.318681,6.181328
1991Q4,5.017251,11.117333,6.100082
1992Q1,4.867179,10.855581,5.988402
1992Q2,4.774439,10.680886,5.906447
1992Q3,4.702399,10.540050,5.837651
1992Q4,4.660212,10.455215,5.795003
1993Q1,4.652557,10.419139,5.766582
1993Q2,4.648903,10.354430,5.705527
1993Q3,4.705303,10.405427,5.700123
